Electrical conductivity (mostly) in ohm-1 * cm-1

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
AgBr,100,+E,723,1073,1%,5.183,-3476.96,,,,,
AgBr-AgCl,0-100,+E,730,970,,7.644,-4342.65,,,,"For 100% AgCl, the departures from the recommended data set are: 750 K, -0.79%, 970 K, -2.9%.",
AgBr-AgCl,20-80,+E,720,870,,7.4189,-4481.14,,,,,
AgBr-AgCl,40-60,+E,720,870,,6.7914,-4272.35,,,,,
AgBr-AgCl,60-40,+E,720,870,,6.2254,-4072.36,,,,,
AgBr-AgCl,80-20,+E,720,870,,6.0072,-4156.04,,,,,
AgBr-AgCl,100-0,+E,720,870,,5.2826,-3597.88,,,,"For 100% AgBr, the results have been advanced as the recommended data set.",
AgBr-AgI,5-95,+E,830,870,,3.6942,-2953.95,,,,,
AgBr-AgI,10-90,+E,830,870,,3.0824,-1750.2,,,,,
AgBr-AgI,20-80,+E,780,870,,3.246,-2036.39,,,,,
AgBr-AgI,30-70,+E,780,870,,3.1568,-1782.,,,,,
AgBr-AgI,40-60,+E,730,820,,3.9753,-3150.19,,,,,
AgBr-AgI,60-40,+E,680,870,,4.1138,-3035.96,,,,,
AgBr-AgI,70-30,+E,680,870,,4.0209,-2810.02,,,,,
AgBr-AgI,80-20,+E,680,870,,4.1944,-3066.5,,,,,
AgBr-AgI,90-10,+E,730,870,,4.3127,-2862.32,,,,,
AgBr-AgNO3,0-100,+E,623,823,,5.757,-7941.36,,,,"For 100% AgNO3, the departures from the recommended data set are: 630 K, -1.6%, 820 K, -15%.",
AgBr-AgNO3,20-80,+E,570,810,,6.54364,-8557.68,,,,,
AgBr-AgNO3,24-76,+E,570,810,,6.50219,-8437.18,,,,,
AgBr-AgNO3,40-60,+E,570,810,,6.32843,-7953.92,,,,,
AgBr-AgNO3,60-40,+E,570,810,,6.3719,-7244.72,,,,,
AgBr-AgNO3,80-20,+E,630,810,,5.86331,-5595.36,,,,,
AgBr-AgNO3,100-0,+E,623,823,,5.1656,-3450.6,,,,"For 100% AgBr, the departures from the recommended data set are: 650 K, +0.14%, 820 K, 0.0%.",
AgBr-CsBr,0-100,+E,920,950,,22.862,-25334.54,,,,"For 100% CsBr, the departures from the recommended data set are: 920 K, -5.1%,950 K, -3.0%.",
AgBr-CsBr,20-80,+E,800,950,,7.5793,-16437.54,,,,,
AgBr-CsBr,40-60,+E,650,950,,8.255,-16527.91,,,,,
AgBr-CsBr,50-50,+E,600,950,,8.20902,-15634.2,,,,,
AgBr-CsBr,70-30,+E,600,950,,5.014,-8956.42,,,,,
AgBr-CsBr,80-20,+E,600,950,,4.24,-6238.87,,,,,
AgBr-CsBr,100-0,+E,710,950,,5.065,-3077.8,,,,"For 100% AgBr, the departures from the recommended data set are: 700 K, +4.0%,950 K, +2.7%.",
AgBr-HgBr2,0.15-1.32 AgBr,I2,515.2,,,5.852E-5,0.001428,0.00158,,,The departure of the conductance of 100% HgBr2 at 515 K from the value of the recommended data set is approx. -2%.,
AgBr-KBr,40.9-59.1,+E,830,870,,6.197,-10635.07,,,,,
AgBr-KBr,50.7-49.3,+E,780,870,,6.246,-10126.29,,,,,
AgBr-KBr,69.2-30.8,+E,630,870,,5.376,-7453.92,,,,,
AgBr-KBr,85.1-14.9,+E,630,870,,4.992,-5197.87,,,,,
AgBr-KBr,100.0-0.0,+E,730,870,,5.183,-3476.96,,,,"For 100% AgBr, the results have been advanced as the recommended data set.",
AgBr-KCl,0-100,+E,1030,1070,,8.0879,-11473.98,,,,"For 100% KCl, the departures from the recommended data set are: 1030 K, -0.8%,1080 K, -0.1%.",
AgBr-KCl,20-80,+E,930,1070,,7.2074,-10896.57,,,,,
AgBr-KCl,40-60,+E,830,1070,,6.1952,-9437.59,,,,,
AgBr-KCl,60-40,+E,780,1070,,5.634,-7761.45,,,,,
AgBr-KCl,80-20,+E,780,1070,,4.7704,-4917.54,,,,,
AgBr-KCl,100-0,+E,780,1070,,5.1554,-3432.61,,,,"For 100% AgBr, the departures from the recommended data set are: 780 K, +0.1%,1000 K, 0.0%.",
AgBr-LiCl,0-100,+E,930,1070,,13.1706,-6136.36,,,,"For 100% LiCl, the departures from the recommended data set are: 930 K, -0.20%, 1070 K, -0.15%.",
AgBr-LiCl,20-80,+E,880,1070,,11.9118,-6779.03,,,,,
AgBr-LiCl,40-60,+E,880,1070,,11.0119,-7653.5,,,,,
AgBr-LiCl,60-40,+E,880,1070,,8.051,-6199.95,,,,,
AgBr-LiCl,80-20,+E,830,1070,,6.072,-4450.6,,,,,
AgBr-LiCl,100-0,+E,830,1070,,5.1656,-3450.6,,,,"For 100% AgBr, the departures from the recommended data set are: 830 K, 0.0%, 1070 K, -0.03%.",
